Abel, Clarence, New York Rangers, 1928,  Chicago Blackhawks, 1934, {2}
Racine, Bruce, Pittsburgh Penguins, 1991, {1}
Rafalski, Brian, New Jersey Devils, 2000–03,  Detroit Red Wings, 2008, {3}
Ramage, Rob, Calgary Flames, 1989,  Montreal Canadiens, 1993, {2}
Randall, Ken, Toronto Arenas, 1918,  Toronto St. Pats, 1922, {2}
Ranford, Bill, Edmonton Oilers, 1988–90, {2}
Rankin, Norm, Montreal Victorias, 1895, {1}
Rask, Tuukka, Boston Bruins, 2011, {1}
Reardon, Ken, Montreal Canadiens, 1946, {1}
Reardon, Terry, Boston Bruins, 1939–41, {2}
Reaugh, Daryl, Edmonton Oilers, 1988, {1}
Reay, Billy, Montreal Canadiens, 1946–53, {2}
Recchi, Mark, Pittsburgh Penguins, 1991,  Carolina Hurricanes, 2006,  Boston Bruins, 2011, {3}
Reddick, Eldon, Edmonton Oilers, 1990, {1}
Redmond, Michael, Montreal Canadiens, 1968–69, {2}
Regehr, Robyn, Los Angeles Kings, 2014, {1}
Reibel, Earl, Detroit Red Wings, 1954–55, {2}
Reid, Dave, Dallas Stars, 1999,  Colorado Avalanche, 2001, {2}
Reinprecht, Steven, Colorado Avalanche, 2001, {1}
Resch, Glenn, New York Islanders, 1980, {1}
Reise, Leo Jr., Detroit Red Wings, 1950–52, {2}
Rheaume, Pascal, New Jersey Devils, 2003, {1}
Ricci, Mike, Colorado Avalanche, 1996, {1}
Richard, Henri, Montreal Canadiens, 1956-57-58-59-60-65-66-68-69-71-73, {11}
Richard, Maurice, Montreal Canadiens, 1944-46-53-56-57-58-59-60, {8}
Richards, Brad, Tampa Bay Lightning, 2004,  Chicago Blackhawks, 2015, {2}
Richards, Mike, Los Angeles Kings, 2012-14, {2}
Richardson, Brad, Los Angeles Kings, 2012, {1}
Richardson, Frank, Montreal Victorias, 1898–99, {2}
Richer, Stephane, Montreal Canadiens, 1986,  New Jersey Devils, 1995, {2}
Rickey, Roy, Seattle Metropolitans, 1917, {1}
Richter, Mike, New York Rangers, 1994, {1}
Ridpath, Bruce, Ottawa Senators, 1910–11, {2}
Riley, Jim, Seattle Metropolitans, 1917, {1}
Risebrough, Doug, Montreal Canadiens, 1976-77-78-79, {4}
Rivers, Gus, Montreal Canadiens, 1930–31, {2}
Roach, John Ross, Toronto St. Pats, 1922, {1}
Roberge, Mario, Montreal Canadiens, 1993, {1}
Roberto, Phillip, Montreal Canadiens, 1971, {1}
Roberts, Gary, Calgary Flames, 1989, {1}
Roberts, Gordie, Pittsburgh Penguins, 1991–92, {2}
Roberts, Gordon, Ottawa Senators, 1910, {1}
Roberts, Jim, Montreal Canadiens, 1965-66-73-76-77, {5}
Robertson, Earl, Detroit Red Wings, 1937, {1}
Robertson, Fred, Toronto Maple Leafs, 1932, {1}
Robinson, Earl, Montreal Maroons, 1935, {1}
Robinson, Larry, Montreal Canadiens, 1973-76-77-78-79-86, {6}
Robitaille, Luc, Detroit Red Wings, 2002, {1}
Rochefort, Leon, Montreal Canadiens, 1966–71, {2}
Rodden, Eddie, Boston Bruins, 1929, {1}
Rollins, Erwin, Toronto Maple Leafs, 1951, {1}
Rolston, Brian, New Jersey Devils, 1995, {1}
Rome, Aaron, Anaheim Ducks, 2007, {1}
Romnes, Elwyn, Chicago Blackhawks, 1934–38, {2}
Ronan, Ed, Montreal Canadiens, 1993, {1}
Ronan, Skene, Montreal Canadiens, 1916, {1}
Rooney, Steve, Montreal Canadiens, 1986, {1}
Rooney, Walter, Quebec Bulldogs, 1912–13, {2}
Ross, Art, Kenora Thistles, 1907,  Montreal Wanderers, 1908, {2}
Rothschild, Sammy, Montreal Maroons, 1926, {1}
Roulston, Orville, Detroit Red Wings, 1937, {1}
Rouse, Bob, Detroit Red Wings, 1997–98, {2}
Routh, Haviland, Montreal AAA, 1893–94, {2}
Rowe, Bobby, Seattle Metropolitans, 1917, {1}
Roy, Andre, Tampa Bay Lightning, 2004, {1}
Roy, Patrick, Montreal Canadiens, 1986–93,  Colorado Avalanche, 1996–2001, {4}
Rozsival, Michal, Chicago Blackhawks, 2013-15, {2}
Rouotsalainen, Reijo, Edmonton Oilers, 1987–90, {2}
Rousseau, Bobby, Montreal Canadiens, 1965-66-68-69, {4}
Rumble, Darren, Tampa Bay Lightning, 2004, {1}
Rundblad, David, Chicago Blackhawks, 2015, {1}
Rupp, Mike, New Jersey Devils, 2003, {1}
Russell, Ernie, Montreal Wanderers, 1906-07-08-10, {1}
Rust, Bryan, Pittsburgh Penguins, 2016, {1}
Rychel, Warren, Colorado Avalanche, 1996, {1}
Ryder, Michael, Boston Bruins, 2011, {1}
Saad, Brandon, Chicago Blackhawks, 2013-15, {2}
Sabourin, Ken, Calgary Flames, 1989, {1}
Sakic, Joe, Colorado Avalanche, 1996–2001, {2}
Saleski, Don, Philadelphia Flyers, 1974–75, {2}
Samis, Phil, Toronto Maple Leafs, 1948, {1}
Samuelsson, Mikael, Detroit Red Wings, 2008, {1}
Samuelsson, Ulf, Pittsburgh Penguins, 1991–92, {2}
Samuelsson, Kjell, Pittsburgh Penguins, 1992, {1}
Sands, Charlie, Boston Bruins, 1939, {1}
Sanderson, Derek, Boston Bruins, 1970–72, {2}
Sandstrom, Tomas, Detroit Red Wings, 1997, {1}
Sarich, Cory, Tampa Bay Lightning, 2004, {1}
Satan, Miroslav, Pittsburgh Penguins, 2009, {1}
Savard, Denis, Montreal Canadiens, 1993, {1}
Savard, Marc, Boston Bruins, 2011, {1}
Savard, Joe, Quebec Bulldogs, 1912–13, {1}
Savard, Serge, Montreal Canadiens, 1968-69-71-73-76-77-78-79, {8}
Sawchuk, Terry, Detroit Red Wings, 1952-54-55,  Toronto Maple Leafs, 1967, {4}
Scanlon, Fred, Montreal Shamrocks, 1899–1900,  Winnipeg Victorias, 1902, {3}
Schlizzi, Enio, Detroit Red Wings, 1952, {1}
Schmidt, Milt, Boston Bruins, 1939–41, {2}
Schneider, Matthieu, Montreal Canadiens, 1993, {1}
Schriner, Dave, Toronto Maple Leafs, 1942–45, {2}
Schock, Danny, Boston Bruins, 1970, {1}
Schultz, Jeff, Los Angeles Kings, 2014, {1}
Schultz, Dave, Philadelphia Flyers, 1974–75, {2}
Schultz, Justin, Pittsburgh Penguins, 2016, {1}
Schwab, Corey, New Jersey Devils, 2003, {1}
Scott, Unknown, Ottawa Senators, 1904, {1}
Scott, Laurie, New York Rangers, 1928, {1}
Scuderi, Rob, Pittsburgh Penguins, 2009,  Los Angeles Kings, 2012, {2}
Seabrook, Brent, Chicago Blackhawks, 2010-13-15, {3}
Seaborn, Jim, Vancouver Millionaires, 1915, {1}
Seguin, Tyler, Boston Bruins, 2011, {1}
Seibert, Earl, New York Rangers, 1933,  Chicago Blackhawks, 1938, {2}
Seidenberg, Dennis, Boston Bruins, 2011, {1}
Selanne, Teemu, Anaheim Ducks, 2007, {1}
Semenko, Dave, Edmonton Oilers, 1984–85, {2}
Semenov, Anatoli, Edmonton Oilers, 1990, {1}
Severyn, Brent, Dallas Stars, 1999, {1}
Sevigny, Richard, Montreal Canadiens, 1979, {1}
Shack, Eddie, Toronto Maple Leafs, 1962-63-64, {3}
Shanahan, Brendan, Detroit Red Wings, 1997-98-2002, {3}
Shannon, Ryan, Anaheim Ducks, 2007, {1}
Sharp, Patrick, Chicago Blackhawks, 2010-13-15, {3}
Shaw, Andrew, Chicago Blackhawks, 2013-15, {2}
Sheary, Conor, Pittsburgh Penguins, 2016, {1}
Sheehan, Bobby, Montreal Canadiens, 1971, {1}
Sheppard, Jack, Winnipeg Victorias, 1896, {1}
Sheppard, John, Chicago Blackhawks, 1934, {1}
Sherf, John, Detroit Red Wings, 1937, {1}
Shewchuk, Jack, Boston Bruins, 1939–41, {2}
Shibicky, Alex, New York Rangers, 1940, {1}
Shields, Al, Montreal Maroons, 1935, {1}
Shill, John, Chicago Blackhawks, 1938, {1}
Shore, Eddie, Boston Bruins, 1929–39, {2}
Shore, Hamby, Ottawa Senators, 1905-10-11, {3}
Shutt, Steve, Montreal Canadiens, 1973-76-77-78-79, {5}
Siebert, Babe, Montreal Maroons, 1926,  New York Rangers, 1933, {2}
Sim, Jon, Dallas Stars, 1999, {1}
Simmons, Don, Toronto Maple Leafs, 1962-63-64, {3}
Simon, Chris, Colorado Avalanche, 1996, {1}
Simon, John, Detroit Red Wings, 1943, {1}
Simpson, Craig, Edmonton Oilers, 1988–90, {2}
Sims, Percy, Ottawa Senators, 1903, {1}
Skinner, Alf, Toronto Arenas, 1918, {1}
Skoula, Martin, Colorado Avalanche, 2001, {1}
Skov, Glen, Detroit Red Wings, 1952-54-55, {3}
Skrudland, Brian, Montreal Canadiens, 1986,  Dallas Stars, 1999, {2}
Slegr, Jiri, Detroit Red Wings, 2002, {1}
Sloan, Blake, Dallas Stars, 1999, {1}
Sloan, Tod, Toronto Maple Leafs, 1951,  Chicago Blackhawks, 1961, {2}
Smaill, Walter, Montreal Wanderers, 1908,  Ottawa Senators, 1910, {2}
Smehlik, Richard, New Jersey Devils, 2003, {1}
Smith, Al, Toronto Maple Leafs, 1967, {1}
Smith, Alex, Ottawa Senators, 1927, {1}
Smith, Alf, Ottawa Senators, 1904-05-06, {3}
Smith, Ben, Chicago Blackhawks, 2013, {1}
Smith, Billy, New York Islanders, 1980-81-82-83, {4}
Smith, Bobby, Montreal Canadiens, 1986, {1}
Smith, Clint, New York Rangers, 1940, {1}
Smith, Dallas, Boston Bruins, 1970–72, {2}
Smith, Des, Boston Bruins, 1941, {1}
Smith, Geoff, Edmonton Oilers, 1990, {1}
Smith, Grathton, Toronto St. Pats, 1922, {1}
Smith, George, Montreal AAA, 1902–03, {2}
Smith, Harry, Ottawa Senators, 1906,  Montreal Wanderers, 1908, {2}
Smith, James Steve, Edmonton Oilers, 1987-88-90, {3}
Smith, Normie, Detroit Red Wings, 1936–37, {2}
Smith, Hooley, Ottawa Senators, 1927,  Montreal Maroons, 1935, {2}
Smith, Rick, Boston Bruins, 1970, {1}
Smith, Stanley, New York Rangers, 1940, {1}
Smith, Sid, Toronto Maple Leafs, 1948-49-51, {3}
Smith, Tommy, Ottawa Senators, 1906,  Quebec Bulldogs, 1913, {2}
Smylie, Rod, Toronto St. Pats, 1922, {1}
Soetaert, Doug, Montreal Canadiens, 1986, {1}
Somers, Art, New York Rangers, 1933, {1}
Sopel, Brent, Chicago Blackhawks, 2010, {1}
Sorrell, Johnny, Detroit Red Wings, 1936–37, {2}
Speer, Bill, Boston Bruins, 1970, {1}
Spittal, Charles, Ottawa Senators, 1903, {1}
Stackhouse, Ted, Toronto St. Pats, 1922, {1}
Staal, Eric, Carolina Hurricanes, 2006, {1}
Staal, Jordan, Pittsburgh Penguins, 2009, {1}
Stalberg, Viktor, Chicago Blackhawks, 2013, {1}
Stanfield, Fred, Boston Bruins, 1970–72, {2}
Stanley, Allan, Toronto Maple Leafs, 1962-63-64-67, {4}
Stanley, Barney, Vancouver Millionaires, 1915, {1}
Stanowski, Wally, Toronto Maple Leafs, 1942-45-47-48, {4}
Stanton, Paul, Pittsburgh Penguins, 1991–92, {2}
Starke, Joe, Chicago Blackhawks, 1934, {1}
Stasiuk, Vic, Detroit Red Wings, 1952-54-55, {3}
Stemkowski, Peter, Toronto Maple Leafs, 1967, {1}
Stephenson, Wayne, Philadelphia Flyers, 1975, {1}
Stevens, Kevin, Pittsburgh Penguins, 1991–92, {2}
Stevens, Scott, New Jersey Devils, 1995-2000-03, {3}
Stevenson, Turner, New Jersey Devils, 2003, {1}
Stewart, Gaye, Toronto Maple Leafs, 1942–47, {2}
Stewart, James, Montreal AAA, 1893–94, {2}
Stewart, John, Detroit Red Wings, 1943–50, {2}
Stewart, Nels, Montreal Maroons, 1926, {1}
Stewart, Ron, Toronto Maple Leafs, 1962-63-64, {3}
Stillman, Corey, Tampa Bay Lightning, 2004, Carolina Hurricanes, 2006, {2}
Stoll, Jarret, Los Angeles Kings, 2012-14, {2}
St. Laurent, Dollard, Montreal Canadiens, 1953-56-57-58,  Chicago Blackhawks, 1961, {5}
St. Louis, Martin, Tampa Bay Lightning, 2004, {1}
Strachan, Billy, Montreal Wanderers, 1906–07, {2}
Stuart, Brad, Detroit Red Wings, 2008, {1}
Stuart, Bruce, Montreal Wanderers, 1908,  Ottawa Senators, 1909-10-11, {4}
Stuart, Hodgenson, Montreal Wanderers, 1906-07, {2}
Stuart, Bill, Toronto St. Pats, 1922, {1}
Summanen, Raimo, Edmonton Oilers, 1984, {1}
Suter, Gary, Calgary Flames, 1989, {1}
Sutter, Brent, New York Islanders, 1982–83, {2}
Sutter, Duane, New York Islanders, 1980-81-82-83, {4}
Sutton, Ken, New Jersey Devils, 2000, {1}
Svoboda, Petr, Montreal Canadiens, 1986, {1}
Sydor, Darryl, Dallas Stars, 1999, Tampa Bay Lightning, 2004, {2}
Sykora, Petr, New Jersey Devils, 2000,  Pittsburgh Penguins, 2009, {2}
Taglianetti, Peter, Pittsburgh Penguins, 1991–92, {2}
Talbot, Jean-Guy, Montreal Canadiens, 1956-57-58-59-60-65-66, {7}
Talbot, Maxime, Pittsburgh Penguins, 2009, {1)
Tambellini, Steven, New York Islanders, 1980, {1}
Tanguay, Alex, Colorado Avalanche, 2001, {1}
Tansey, Frank, Montreal Shamrocks, 1899–1900, {2}
Tardif, Marc, Montreal Canadiens, 1971–73, {2}
Taylor, Fred, Ottawa Senators, 1909,  Vancouver Millionaires, 1915, {2}
Taylor, Harry, Toronto Maple Leafs, 1949, {1}
Taylor, Tim, Detroit Red Wings, 1997,  Tampa Bay Lightning, 2004, {2}
Taylor, Bob, Philadelphia Flyers, 1974–75, {2}
Taylor, Billy Sr., Toronto Maple Leafs, 1942, {1}
Teale, W., Toronto St. Pats, 1922, {1}
Terreri, Chris, New Jersey Devils, 1995–2000, {2}
Teräväinen, Teuvo, Chicago Blackhawks, 2015, {1}
Thomas, Tim, Boston Bruins, 2011, {1}
Thompson, Cecil, Boston Bruins, 1929, {1}
Thomson, Jim, Toronto Maple Leafs, 1947-48-49-51, {4}
Thompson, Paul, New York Rangers, 1928,  Chicago Blackhawks, 1934–38, {3}
Thornton, Shawn, Anaheim Ducks, 2007,  Boston Bruins, 2011, {2}
Tibbs, Bill, Detroit Red Wings, 1952, {1}
Tikkanen, Esa, Edmonton Oilers, 1985-87-88-90,  New York Rangers, {5}
Timgren, Ray, Toronto Maple Leafs, 1949–51, {2}
Timonen, Kimmo, Chicago Blackhawks, 2015, {1}
Tocchet, Rick, Pittsburgh Penguins, 1992, {1}
Toews, Jonathan, Chicago Blackhawks, 2010-13-15, {3}
Toffoli, Tyler, Los Angeles Kings, 2014, {1}
Tonelli, John,New York Islanders, 1980-81-82-83, {4}
Tremblay, Jean-Claude, Montreal Canadiens, 1965-66-68-69-71, {5}
Tremblay, Gilles, Montreal Canadiens, 1965-66-68-69, {4}
Tremblay, Mario, Montreal Canadiens, 1976-77-78-79-86, {5}
Trihey, Harry, Montreal Shamrocks, 1899–1900, {2}
Trottier, Bryan, New York Islanders, 1980-81-82-83,  Pittsburgh Penguins, 1991–92, {6}
Trottier, Dave, Montreal Maroons, 1935, {1}
Trudel, Lou, Chicago Blackhawks, 1934–38, {2}
Turek, Roman, Dallas Stars, 1999, {1}
Turner, Bob, Montreal Canadiens, 1956-57-58-59-60, {5}
Tverdovsky, Oleg, New Jersey Devils, 2003,  Carolina Hurricanes, 2006, {2}
Vachon, Rogie, Montreal Canadiens, 1968-69-71, {3}
Vadnais, Carol, Montreal Canadiens, 1968,  Boston Bruins, 1972, {2}
Van Boxmeer, John, Montreal Canadiens, 1976, {1}
Van Impe, Ed, Philadelphia Flyers, 1974–75, {2}
van Riemsdyk, Trevor, Chicago Blackhawks, 2015, {1}
Van Dorp, Wayne, Edmonton Oilers, 1987, {1}
Vasicek, Josef, Carolina Hurricanes, 2006, {1}
Vasko, Elmer, Chicago Blackhawks, 1961, {1}
Verbeek, Pat, Dallas Stars, 1999, {1}
Vermette, Antoine, Chicago Blackhawks, 2015, {1}
Vernon, Mike, Calgary Flames, 1989,  Detroit Red Wings, 1997, {2}
Versteeg, Kris, Chicago Blackhawks, 2010–15, {2}
Veznia, Georges, Montreal Canadiens, 1916–24, {2}
Voss, Carl, Chicago Blackhawks, 1938, {1}
Voynov, Slava, Los Angeles Kings, 2012-14, {2}
Wakely, Ernie, Montreal Canadiens, 1965–68, {2}
Walker, Jack, Toronto Blueshirts, 1914,  Seattle Metropolitans, 1917,  Victoria Cougars, 1925, {3}
Wall, Frank, Montreal Shamrocks, 1899–1900, {2}
Wallance, William, Montreal Victorias, 1896, {1}
Wallin, Niclas, Carolina Hurricanes, 2006, {1}
Walsh, Marty, Ottawa Senators, 1909-10-11, {3}
Walter, Ryan, Montreal Canadiens, 1986, {1)
Walton, Mike, Toronto Maple Leafs, 1967,  Boston Bruins, 1972, {2}
Wamsley, Rick, Calgary Flames, 1989, {1}
Waud, Arthur, Montreal AAA, 1893–94, {2}
Ward, Aaron, Detroit Red Wings, 1997–98,  Carolina Hurricanes, 2006, {3}
Ward, Cam, Carolina Hurricanes, 2006, {1}
Ward, Jimmy, Montreal Maroons, 1935, {1}
Wares, Eddie, Detroit Red Wings, 1943, {1}
Wasnie, Nick, Montreal Canadiens, 1930–31, {2}
Watson, Bryan, Montreal Canadiens, 1965, {1}
Watson, Harry, Detroit Red Wings, 1943,  Toronto Maple Leafs, 1947-48-49-51, {5}
Watson, Jim, Philadelphia Flyers, 1974–75, {2}
Watson, Joe, Philadelphia Flyers, 1974–75, {2}
Watson, Phil, New York Rangers, 1940,  Montreal Canadiens, 1944, {2}
Weiland, Ralph, Boston Bruins, 1929–39, {2}
Weight, Doug, Carolina Hurricanes, 2006, {1}
Wells, Jay, New York Rangers, 1994, {1}
Wentworth, Cy, Montreal Maroons, 1935, {1}
Wesley, Glen, Carolina Hurricanes, 2006, {1}
Westfall, Ed, Boston Bruins, 1970–72, {2}
Westgarth, Kevin, Los Angeles Kings, 2012, {1}
Westwick, Harry, Ottawa Senators, 1903-04-05-06-09,  Kenora Thistles, 1907, {6}
Wharram, Ken, Chicago Blackhawks, 1961, {1}
Wiemer, Jim, Edmonton Oilers, 1988, {1}
Whitcroft, Fred, Kenora Thistles, 1907, {1}
White, Colin, New Jersey Devils, 2000–03, {1}
White, Frank, Ottawa Senators, 1905, {1}
Whitney, Ray, Carolina Hurricanes, 2006, {1}
Wiebe, Art, Chicago Blackhawks, 1938, {1}
Williams, Jason, Detroit Red Wings, 2002, {1}
Williams, Justin, Carolina Hurricanes, 2006,  Los Angeles Kings, 2012-14, {3}
Willett, Stanley, Montreal Victorias, 1896, {1}
Wilson, Carol, Toronto Blueshirts, 1914,  Seattle Metropolitans, 1917, {2}
Wilson, Claude, Toronto Blueshirts, 1914, {1}
Wilson, Johnny, Detroit Red Wings, 1950-52-54-55, {4}
Wilson, Larry, Detroit Red Wings, 1950, {1}
Wilson, Murray, Montreal Canadiens, 1973-76-77-78, {4}
Wilson, Ross, Detroit Red Wings, 1954, {1}
Winkler, Hal, Boston Bruins, 1929, {1}
Wiseman, Eddie, Boston Bruins, 1941, {1}
Woit, Ben, Detroit Red Wings, 1952-54-55, {3}
Wolanin, Craig, Colorado Avalanche, 1996, {1}
Wood, E. Burke, Winnipeg Victorias, 1901-02, {2}
Wood, Frank, Ottawa Senators, 1903, {1}
Worsley, Gump, Montreal Canadiens, 1965-66-68-69, {4}
Wregget, Ken, Pittsburgh Penguins, 1992, {1}
Yelle, Stephane, Colorado Avalanche, 1996–2001, {2}
Young, Doug, Detroit Red Wings, 1936–37, {2}
Young, Scott, Pittsburgh Penguins, 1991,  Colorado Avalanche, 1996, {2}
Young, Wendell, Pittsburgh Penguins, 1991–92, {2}
Yzerman, Steve, Detroit Red Wings, 1997-98-2002, {3}
Zanier, Mike, Edmonton Oilers, 1984, {1}
Zeidel, Larry, Detroit Red Wings, 1952, {1}
Zelepukin, Valeri, New Jersey Devils, 1995, {1}
Zetterberg, Henrik, Detroit Red Wings, 2008, {1}
Zigomanis, Mike, Pittsburgh Penguins, 2009, {1}
Zubov, Sergei, New York Rangers, 1994,  Dallas Stars, 1999, {2}
